company,org,model_id,downloads,likes,pipeline_tag,library_name,created_at,tags
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_1400k,105,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_1400k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_140k,105,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_140k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_1500k,96,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_1500k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_1600k,98,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_1600k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_160k,126,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_160k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_1700k,88,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_1700k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_1800k,97,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_1800k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_180k,99,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_180k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_1900k,97,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_1900k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_2000k,450,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_2000k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
